sID,schoolname,level,eType,address,city,region,lati,longi
B000008451,수송중학교,중학교,공립,서울특별시 강북구 한천로122길 21,서울특별시교육청,서울특별시성북강북교육지원청,37.63663149,127.0336597
B000005892,오가초등학교,초등학교,공립,충청남도 예산군 오가면 역말로 89,충청남도교육청,충청남도예산교육지원청,36.68742547,126.793694
B000004953,망상초등학교,초등학교,공립,강원특별자치도 동해시 동해대로 6251,강원특별자치도교육청,강원특별자치도동해교육지원청,37.59057345,129.0905095
B000012459,이매고등학교,고등학교,공립,경기도 성남시 분당구 탄천로 1,경기도교육청,경기도성남교육지원청,37.39240095,127.1212826
B000024290,온빛초등학교,초등학교,공립,세종특별자치시  만남로 174,세종특별자치시교육청,세종특별자치시교육청,36.51451545,127.2403134
B000008037,추자초등학교신양분교장,초등학교,공립,제주특별자치도 제주시 추자면 추자로 553-10,제주특별자치도교육청,제주특별자치도제주시교육지원청,33.94483458,126.3254769
B000009872,용하중학교,중학교,공립,강원특별자치도 양구군 국토정중앙면 정중앙로 624-7,강원특별자치도교육청,강원특별자치도양구교육지원청,38.11165161,128.0385569
B000010238,전일중학교,중학교,공립,전북특별자치도 전주시 덕진구 모래내6길 36,전북특별자치도교육청,전북특별자치도전주교육지원청,35.83776986,127.1449636
B000012776,강릉여자고등학교,고등학교,공립,강원특별자치도 강릉시 용지로 107,강원특별자치도교육청,강원특별자치도강릉교육지원청,37.75893212,128.9038772
B000004991,한남초등학교,초등학교,공립,강원특별자치도 양양군 서면 남대천로 218,강원특별자치도교육청,강원특별자치도속초양양교육지원청,38.05605537,128.6073777
B000011031,마산삼진중학교,중학교,사립,경상남도 창원시 마산합포구 진동면 성산길 51,경상남도교육청,경상남도창원교육지원청,35.11396976,128.4884784
B000012420,범서고등학교,고등학교,공립,울산광역시 울주군 범서읍 대리로 69,울산광역시교육청,울산광역시강남교육지원청,35.56969998,129.2492238
B000009260,신안중학교,중학교,공립,경기도 안양시 만안구 능곡로 78,경기도교육청,경기도안양과천교육지원청,37.3887346,126.9151967
B000003422,대전변동초등학교,초등학교,공립,대전광역시 서구 유등로 373,대전광역시교육청,대전광역시서부교육지원청,36.32472656,127.3848927
B000009033,대전버드내중학교,중학교,공립,대전광역시 서구 유등로 285,대전광역시교육청,대전광역시서부교육지원청,36.31635628,127.3834896
B000010192,창기중학교,중학교,공립,충청남도 태안군 안면읍 황도로 3-16,충청남도교육청,충청남도태안교육지원청,36.57736881,126.3336001
B000003376,대전문성초등학교,초등학교,공립,대전광역시 중구 유등천동로292번길 89-14,대전광역시교육청,대전광역시동부교육지원청,36.30839103,127.3904615
B000003894,원일초등학교,초등학교,공립,경기도 안산시 단원구 원선로 113,경기도교육청,경기도안산교육지원청,37.33265472,126.8038433
B000006539,세지초등학교,초등학교,공립,전라남도 나주시 세지면 동창로 111,전라남도교육청,전라남도나주교육지원청,34.91871781,126.7470972
